Title	URL	Status	Sprint	Task Type	Nature	Epic	Assignees	Estimated Time	Linked pull requests	Priority
Show friends activity on feed	https://github.com/LASTA-OUTDOOR/lasta/issues/215	In Development	Sprint 7	Frontend + backend	Sprint Task	Tracking	JoniDutoit	7h		TOP
Sorting by difficulty and rating activities with the filter applied	https://github.com/LASTA-OUTDOOR/lasta/issues/212	In Development	Sprint 7	Frontend + backend	Sprint Task	Activities Interactivity	CassioManuguerra	7h		Important
UI of the community tabs	https://github.com/LASTA-OUTDOOR/lasta/issues/114	Done in Sprint 4	Sprint 4	Frontend	Sprint Task	Social	JeremyHugentobler	5h	https://github.com/LASTA-OUTDOOR/lasta/pull/123	
Make sure to have a working APK building workflow	https://github.com/LASTA-OUTDOOR/lasta/issues/116	Done in Sprint 4	Sprint 4	Structure - Comments	Sprint Task		Andy130604	2h	https://github.com/LASTA-OUTDOOR/lasta/pull/118	
Create notion for shared resources/informations about code/methods for the team	https://github.com/LASTA-OUTDOOR/lasta/issues/115	Done in Sprint 4	Sprint 4	Frontend	Sprint Task		JoniDutoit	2h		
Add database linking with SignUp and SignIn infos	https://github.com/LASTA-OUTDOOR/lasta/issues/133	Done in Sprint 4	Sprint 4	Backend	Sprint Task	Users	Thimphou	5h	https://github.com/LASTA-OUTDOOR/lasta/pull/126	
Implement Setup Screen who stores prefered values in user DB.	https://github.com/LASTA-OUTDOOR/lasta/issues/134	Done in Sprint 4	Sprint 4	Frontend	Sprint Task	Users	Thimphou	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/126	
Build the UI for the new more info tab of an activity (displayed on the figma board)	https://github.com/LASTA-OUTDOOR/lasta/issues/131	Done in Sprint 4	Sprint 4	Frontend	Sprint Task		ecornamu	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/122	
Test databases	https://github.com/LASTA-OUTDOOR/lasta/issues/132	Done in Sprint 4	Sprint 4	Testing	Sprint Task		npfrei	8h	https://github.com/LASTA-OUTDOOR/lasta/pull/127	
Link the More Info tab with clickable buttons on the Favourite and Discover tabs to navigate	https://github.com/LASTA-OUTDOOR/lasta/issues/158	Done in Sprint 4	Sprint 4	Frontend	Sprint Task		ecornamu	2h	https://github.com/LASTA-OUTDOOR/lasta/pull/122	
Refactor the color usage on the More Info tab to avoid local constants and use Color.kt and the lasta app theme	https://github.com/LASTA-OUTDOOR/lasta/issues/159	Done in Sprint 4	Sprint 4	Frontend	Sprint Task		ecornamu	2h	https://github.com/LASTA-OUTDOOR/lasta/pull/122	
Implement correct theme instanciating	https://github.com/LASTA-OUTDOOR/lasta/issues/137	Done in Sprint 4	Sprint 4	Backend	Sprint Task		CassioManuguerra	5h		
